Case ID,Case Date,Day,Week,Cases,Events
1,6/10/2009,1,1,1,1
693,6/10/2009,1,1,1,1
695,9/10/2009,4,1,1,1
697,12/10/2009,7,1,1,1
46,17/10/2009,12,2,1,1
632,18/10/2009,13,2,1,1
3,25/10/2009,20,3,1,1
4,26/10/2009,21,3,1,1
701,26/10/2009,21,3,1,1
5,1/11/2009,27,4,1,1
6,9/11/2009,35,5,1,1
702,10/11/2009,36,6,1,1
703,13/11/2009,39,6,1,1
7,20/11/2009,46,7,1,1
8,24/11/2009,50,8,1,1
10,25/11/2009,51,8,1,1
9,25/11/2009,51,8,1,1
631,26/11/2009,52,8,1,1
704,4/12/2009,60,9,1,1
705,8/12/2009,64,10,1,1
43,8/12/2009,64,10,1,1
44,14/12/2009,70,10,4,1
515,14/12/2009,70,10,1,1
11,15/12/2009,71,11,1,1
12,17/12/2009,73,11,1,1
157,20/12/2009,76,11,1,1
13,21/12/2009,77,11,1,1
669,25/12/2009,81,12,1,1
14,28/12/2009,84,12,1,1
670,28/12/2009,84,12,1,1
140,29/12/2009,85,13,1,1
107,30/12/2009,86,13,1,1
187,30/12/2009,86,13,1,1
39,30/12/2009,86,13,1,1
31,30/12/2009,86,13,1,1
59,31/12/2009,87,13,1,1
2764,2/01/2010,89,13,1,1
641,2/01/2010,89,13,1,1
16,4/01/2010,91,13,1,1
2763,4/01/2010,91,13,1,1
105,4/01/2010,91,13,1,1
766,5/01/2010,92,14,1,1
706,5/01/2010,92,14,1,1
115,5/01/2010,92,14,1,1
104,5/01/2010,92,14,1,1
122,7/01/2010,94,14,1,1
103,8/01/2010,95,14,1,1
2761,8/01/2010,95,14,1,1
188,8/01/2010,95,14,1,1
102,9/01/2010,96,14,1,1
116,10/01/2010,97,14,2,1
98,10/01/2010,97,14,1,1
101,10/01/2010,97,14,1,1
99,10/01/2010,97,14,1,1
64,11/01/2010,98,14,1,1
97,11/01/2010,98,14,1,1
156,13/01/2010,100,15,1,1
65,13/01/2010,100,15,1,1
58,14/01/2010,101,15,1,1
2760,14/01/2010,101,15,1,1
517,14/01/2010,101,15,1,1
642,15/01/2010,102,15,1,1
45,17/01/2010,104,15,1,1
57,17/01/2010,104,15,1,1
2891,19/01/2010,106,16,1,1
26,20/01/2010,107,16,1,1
92,22/01/2010,109,16,1,1
482,23/01/2010,110,16,1,1
60,23/01/2010,110,16,1,1
50,24/01/2010,111,16,2,1
67,24/01/2010,111,16,1,1
713,25/01/2010,112,16,2,1
812,25/01/2010,112,16,1,1
153,25/01/2010,112,16,1,1
118,26/01/2010,113,17,1,1
176,26/01/2010,113,17,1,1
93,27/01/2010,114,17,1,1
714,28/01/2010,115,17,2,1
639,28/01/2010,115,17,1,1
95,29/01/2010,116,17,1,1
94,30/01/2010,117,17,1,1
78,1/02/2010,119,17,1,1
179,1/02/2010,119,17,1,1
48,2/02/2010,120,18,1,1
53,3/02/2010,121,18,3,1
49,3/02/2010,121,18,1,1
219,3/02/2010,121,18,1,1
52,3/02/2010,121,18,1,1
210,3/02/2010,121,18,1,1
180,3/02/2010,121,18,1,1
204,4/02/2010,122,18,1,1
142,4/02/2010,122,18,1,1
175,6/02/2010,124,18,1,1
481,6/02/2010,124,18,1,1
62,6/02/2010,124,18,1,1
162,7/02/2010,125,18,1,1
79,7/02/2010,125,18,1,1
80,7/02/2010,125,18,1,1
68,8/02/2010,126,18,1,1
480,8/02/2010,126,18,1,1
56,8/02/2010,126,18,1,1
163,11/02/2010,129,19,1,1
164,11/02/2010,129,19,1,1
181,11/02/2010,129,19,1,1
236,12/02/2010,130,19,2,1
112,12/02/2010,130,19,1,1
806,13/02/2010,131,19,1,1
306,15/02/2010,133,19,1,1
193,15/02/2010,133,19,1,1
119,16/02/2010,134,20,1,1
711,17/02/2010,135,20,1,1
710,19/02/2010,137,20,1,1
182,19/02/2010,137,20,1,1
183,19/02/2010,137,20,1,1
117,19/02/2010,137,20,1,1
715,20/02/2010,138,20,1,1
716,20/02/2010,138,20,1,1
223,20/02/2010,138,20,1,1
136,20/02/2010,138,20,1,1
2892,21/02/2010,139,20,1,1
237,22/02/2010,140,20,1,1
125,22/02/2010,140,20,1,1
4084,23/02/2010,141,21,1,1
135,23/02/2010,141,21,1,1
149,23/02/2010,141,21,1,1
276,23/02/2010,141,21,1,1
846,23/02/2010,141,21,1,1
224,23/02/2010,141,21,1,1
144,24/02/2010,142,21,1,1
459,24/02/2010,142,21,1,1
277,24/02/2010,142,21,1,1
184,24/02/2010,142,21,1,1
259,25/02/2010,143,21,1,1
152,25/02/2010,143,21,1,1
287,25/02/2010,143,21,1,1
147,25/02/2010,143,21,1,1
160,26/02/2010,144,21,1,1
159,26/02/2010,144,21,1,1
239,26/02/2010,144,21,1,1
235,27/02/2010,145,21,1,1
231,28/02/2010,146,21,2,1
166,28/02/2010,146,21,1,1
260,28/02/2010,146,21,1,1
238,1/03/2010,147,21,1,1
255,3/03/2010,149,22,1,1
512,3/03/2010,149,22,1,1
404,4/03/2010,150,22,1,1
205,4/03/2010,150,22,1,1
220,4/03/2010,150,22,1,1
225,5/03/2010,151,22,1,1
227,5/03/2010,151,22,1,1
221,6/03/2010,152,22,1,1
325,6/03/2010,152,22,1,1
324,6/03/2010,152,22,1,1
208,7/03/2010,153,22,1,1
376,8/03/2010,154,22,1,1
202,8/03/2010,154,22,1,1
638,8/03/2010,154,22,1,1
226,9/03/2010,155,23,1,1
304,9/03/2010,155,23,1,1
717,9/03/2010,155,23,1,1
323,10/03/2010,156,23,1,1
278,10/03/2010,156,23,1,1
348,11/03/2010,157,23,1,1
322,11/03/2010,157,23,1,1
279,12/03/2010,158,23,1,1
309,12/03/2010,158,23,1,1
233,13/03/2010,159,23,1,1
767,14/03/2010,160,23,1,1
768,14/03/2010,160,23,1,1
349,14/03/2010,160,23,1,1
332,15/03/2010,161,23,1,1
712,15/03/2010,161,23,1,1
525,16/03/2010,162,24,1,1
585,17/03/2010,163,24,1,1
375,17/03/2010,163,24,1,1
298,19/03/2010,165,24,1,1
769,20/03/2010,166,24,1,1
803,20/03/2010,166,24,1,1
284,21/03/2010,167,24,1,1
811,21/03/2010,167,24,1,1
770,22/03/2010,168,24,1,1
368,22/03/2010,168,24,1,1
289,22/03/2010,168,24,1,1
802,23/03/2010,169,25,1,1
2893,23/03/2010,169,25,1,1
593,23/03/2010,169,25,1,1
333,23/03/2010,169,25,1,1
357,24/03/2010,170,25,1,1
290,24/03/2010,170,25,1,1
799,25/03/2010,171,25,1,1
801,26/03/2010,172,25,1,1
296,26/03/2010,172,25,1,1
520,26/03/2010,172,25,1,1
1569,27/03/2010,173,25,3,1
338,27/03/2010,173,25,1,1
344,29/03/2010,175,25,1,1
305,29/03/2010,175,25,1,1
310,29/03/2010,175,25,1,1
311,30/03/2010,176,26,5,1
328,30/03/2010,176,26,1,1
523,31/03/2010,177,26,1,1
925,31/03/2010,177,26,1,1
351,1/04/2010,178,26,1,1
361,1/04/2010,178,26,1,1
340,2/04/2010,179,26,3,1
312,2/04/2010,179,26,1,1
315,2/04/2010,179,26,1,1
510,2/04/2010,179,26,1,1
317,2/04/2010,179,26,1,1
316,2/04/2010,179,26,1,1
321,4/04/2010,181,26,4,1
319,4/04/2010,181,26,1,1
395,4/04/2010,181,26,1,1
345,6/04/2010,183,27,1,1
335,6/04/2010,183,27,1,1
468,6/04/2010,183,27,1,1
377,7/04/2010,184,27,1,1
339,8/04/2010,185,27,1,1
337,8/04/2010,185,27,1,1
552,8/04/2010,185,27,1,1
336,8/04/2010,185,27,1,1
331,9/04/2010,186,27,1,1
352,9/04/2010,186,27,1,1
330,9/04/2010,186,27,1,1
430,9/04/2010,186,27,1,1
363,10/04/2010,187,27,1,1
346,10/04/2010,187,27,1,1
509,10/04/2010,187,27,1,1
343,10/04/2010,187,27,1,1
522,11/04/2010,188,27,1,1
341,11/04/2010,188,27,1,1
342,11/04/2010,188,27,1,1
524,12/04/2010,189,27,1,1
526,12/04/2010,189,27,1,1
3957,12/04/2010,189,27,1,1
508,12/04/2010,189,27,1,1
378,12/04/2010,189,27,1,1
645,13/04/2010,190,28,1,1
477,13/04/2010,190,28,1,1
848,13/04/2010,190,28,1,1
595,14/04/2010,191,28,1,1
359,14/04/2010,191,28,1,1
470,14/04/2010,191,28,1,1
360,14/04/2010,191,28,1,1
364,14/04/2010,191,28,1,1
583,15/04/2010,192,28,1,1
366,15/04/2010,192,28,1,1
428,15/04/2010,192,28,1,1
798,16/04/2010,193,28,1,1
367,16/04/2010,193,28,1,1
365,16/04/2010,193,28,1,1
408,17/04/2010,194,28,4,1
471,17/04/2010,194,28,1,1
584,18/04/2010,195,28,1,1
472,18/04/2010,195,28,1,1
382,18/04/2010,195,28,1,1
383,18/04/2010,195,28,1,1
810,18/04/2010,195,28,1,1
897,19/04/2010,196,28,1,1
422,19/04/2010,196,28,1,1
847,20/04/2010,197,29,1,1
423,21/04/2010,198,29,1,1
598,21/04/2010,198,29,1,1
399,21/04/2010,198,29,1,1
426,21/04/2010,198,29,1,1
478,21/04/2010,198,29,1,1
400,22/04/2010,199,29,1,1
809,22/04/2010,199,29,1,1
433,22/04/2010,199,29,1,1
849,23/04/2010,200,29,1,1
389,23/04/2010,200,29,1,1
387,23/04/2010,200,29,1,1
407,24/04/2010,201,29,2,1
392,25/04/2010,202,29,1,1
393,25/04/2010,202,29,1,1
456,26/04/2010,203,29,3,1
394,26/04/2010,203,29,1,1
534,26/04/2010,203,29,1,1
427,26/04/2010,203,29,1,1
495,27/04/2010,204,30,1,1
536,27/04/2010,204,30,1,1
535,27/04/2010,204,30,1,1
409,27/04/2010,204,30,1,1
760,28/04/2010,205,30,1,1
434,28/04/2010,205,30,1,1
410,28/04/2010,205,30,1,1
527,28/04/2010,205,30,1,1
416,28/04/2010,205,30,1,1
414,29/04/2010,206,30,1,1
418,30/04/2010,207,30,1,1
473,30/04/2010,207,30,1,1
435,30/04/2010,207,30,1,1
436,30/04/2010,207,30,1,1
405,30/04/2010,207,30,1,1
497,30/04/2010,207,30,1,1
659,1/05/2010,208,30,1,1
474,1/05/2010,208,30,1,1
450,2/05/2010,209,30,1,1
851,2/05/2010,209,30,1,1
1734,2/05/2010,209,30,1,1
449,2/05/2010,209,30,1,1
444,3/05/2010,210,30,5,1
457,3/05/2010,210,30,3,1
763,3/05/2010,210,30,1,1
2759,3/05/2010,210,30,1,1
425,3/05/2010,210,30,1,1
503,4/05/2010,211,31,1,1
447,4/05/2010,211,31,1,1
413,4/05/2010,211,31,1,1
455,4/05/2010,211,31,1,1
475,4/05/2010,211,31,1,1
507,5/05/2010,212,31,1,1
624,5/05/2010,212,31,1,1
3958,5/05/2010,212,31,1,1
582,5/05/2010,212,31,1,1
3959,5/05/2010,212,31,1,1
658,6/05/2010,213,31,1,1
445,6/05/2010,213,31,1,1
3960,6/05/2010,213,31,1,1
446,7/05/2010,214,31,1,1
479,7/05/2010,214,31,1,1
561,8/05/2010,215,31,1,1
476,8/05/2010,215,31,1,1
461,9/05/2010,216,31,1,1
623,9/05/2010,216,31,1,1
448,9/05/2010,216,31,1,1
496,10/05/2010,217,31,1,1
619,10/05/2010,217,31,1,1
764,11/05/2010,218,32,1,1
622,11/05/2010,218,32,1,1
462,12/05/2010,219,32,3,1
504,12/05/2010,219,32,1,1
646,12/05/2010,219,32,1,1
465,12/05/2010,219,32,1,1
486,12/05/2010,219,32,1,1
3961,12/05/2010,219,32,1,1
2758,12/05/2010,219,32,1,1
575,12/05/2010,219,32,1,1
466,13/05/2010,220,32,1,1
4085,13/05/2010,220,32,1,1
500,14/05/2010,221,32,1,1
4086,14/05/2010,221,32,1,1
487,14/05/2010,221,32,1,1
528,14/05/2010,221,32,1,1
498,15/05/2010,222,32,1,1
2063,16/05/2010,223,32,1,1
569,16/05/2010,223,32,1,1
2064,17/05/2010,224,32,1,1
589,17/05/2010,224,32,1,1
1618,17/05/2010,224,32,1,1
492,17/05/2010,224,32,1,1
3962,17/05/2010,224,32,1,1
513,17/05/2010,224,32,1,1
499,17/05/2010,224,32,1,1
590,18/05/2010,225,33,1,1
488,18/05/2010,225,33,1,1
564,18/05/2010,225,33,1,1
580,18/05/2010,225,33,1,1
546,18/05/2010,225,33,1,1
505,18/05/2010,225,33,1,1
529,18/05/2010,225,33,1,1
796,19/05/2010,226,33,9,1
644,19/05/2010,226,33,1,1
489,19/05/2010,226,33,1,1
491,19/05/2010,226,33,1,1
506,19/05/2010,226,33,1,1
630,19/05/2010,226,33,1,1
502,19/05/2010,226,33,1,1
647,19/05/2010,226,33,1,1
2757,20/05/2010,227,33,1,1
501,20/05/2010,227,33,1,1
648,21/05/2010,228,33,1,1
618,21/05/2010,228,33,1,1
2756,21/05/2010,228,33,1,1
665,21/05/2010,228,33,1,1
519,23/05/2010,230,33,1,1
852,23/05/2010,230,33,1,1
2067,25/05/2010,232,34,1,1
2894,26/05/2010,233,34,1,1
643,26/05/2010,233,34,1,1
3963,26/05/2010,233,34,1,1
521,27/05/2010,234,34,1,1
530,28/05/2010,235,34,1,1
532,28/05/2010,235,34,1,1
650,29/05/2010,236,34,1,1
591,29/05/2010,236,34,1,1
568,29/05/2010,236,34,1,1
542,31/05/2010,238,34,2,1
666,31/05/2010,238,34,1,1
3964,31/05/2010,238,34,1,1
2622,31/05/2010,238,34,1,1
660,31/05/2010,238,34,1,1
547,1/06/2010,239,35,2,1
544,1/06/2010,239,35,1,1
4040,1/06/2010,239,35,1,1
578,1/06/2010,239,35,1,1
776,1/06/2010,239,35,1,1
616,3/06/2010,241,35,1,1
2114,4/06/2010,242,35,1,1
560,4/06/2010,242,35,1,1
600,4/06/2010,242,35,1,1
3395,4/06/2010,242,35,1,1
579,7/06/2010,245,35,1,1
599,7/06/2010,245,35,1,1
566,7/06/2010,245,35,1,1
570,8/06/2010,246,36,5,1
2113,8/06/2010,246,36,1,1
592,8/06/2010,246,36,1,1
571,8/06/2010,246,36,1,1
615,8/06/2010,246,36,1,1
2887,8/06/2010,246,36,1,1
2889,9/06/2010,247,36,1,1
1541,9/06/2010,247,36,1,1
667,9/06/2010,247,36,1,1
2112,10/06/2010,248,36,1,1
4041,10/06/2010,248,36,1,1
594,10/06/2010,248,36,1,1
602,12/06/2010,250,36,1,1
651,14/06/2010,252,36,1,1
653,14/06/2010,252,36,1,1
74,15/06/2010,253,37,2,1
75,15/06/2010,253,37,2,1
609,15/06/2010,253,37,1,1
633,15/06/2010,253,37,1,1
611,16/06/2010,254,37,1,1
76,18/06/2010,256,37,1,1
2069,19/06/2010,257,37,1,1
614,19/06/2010,257,37,1,1
737,20/06/2010,258,37,1,1
894,21/06/2010,259,37,1,1
671,21/06/2010,259,37,1,1
2066,22/06/2010,260,38,1,1
625,22/06/2010,260,38,1,1
866,22/06/2010,260,38,1,1
664,23/06/2010,261,38,1,1
77,24/06/2010,262,38,1,1
691,24/06/2010,262,38,1,1
662,25/06/2010,263,38,1,1
668,26/06/2010,264,38,1,1
617,26/06/2010,264,38,1,1
728,27/06/2010,265,38,1,1
765,27/06/2010,265,38,1,1
2449,27/06/2010,265,38,1,1
743,28/06/2010,266,38,1,1
649,29/06/2010,267,39,1,1
1539,30/06/2010,268,39,1,1
663,30/06/2010,268,39,1,1
657,1/07/2010,269,39,1,1
744,1/07/2010,269,39,1,1
720,1/07/2010,269,39,1,1
698,1/07/2010,269,39,1,1
4042,3/07/2010,271,39,1,1
4043,6/07/2010,274,39,1,1
2045,6/07/2010,274,39,1,1
692,8/07/2010,276,39,1,1
1540,8/07/2010,276,39,1,1
729,9/07/2010,277,39,1,1
745,10/07/2010,278,39,1,1
792,12/07/2010,280,39,2,1
707,12/07/2010,280,39,1,1
724,14/07/2010,282,40,1,1
727,14/07/2010,282,40,1,1
754,17/07/2010,285,40,1,1
747,17/07/2010,285,40,1,1
793,18/07/2010,286,40,1,1
1935,18/07/2010,286,40,1,1
808,18/07/2010,286,40,1,1
2646,18/07/2010,286,40,1,1
791,19/07/2010,287,40,1,1
821,19/07/2010,287,40,1,1
775,21/07/2010,289,41,1,1
748,21/07/2010,289,41,1,1
774,23/07/2010,291,41,1,1
752,23/07/2010,291,41,1,1
779,23/07/2010,291,41,1,1
778,24/07/2010,292,41,1,1
4044,25/07/2010,293,41,1,1
1064,26/07/2010,294,41,1,1
905,26/07/2010,294,41,1,1
782,26/07/2010,294,41,1,1
4045,27/07/2010,295,42,1,1
757,27/07/2010,295,42,1,1
874,28/07/2010,296,42,1,1
777,28/07/2010,296,42,1,1
1062,28/07/2010,296,42,1,1
864,29/07/2010,297,42,1,1
772,29/07/2010,297,42,1,1
828,29/07/2010,297,42,1,1
827,29/07/2010,297,42,1,1
773,30/07/2010,298,42,1,1
830,31/07/2010,299,42,7,1
781,2/08/2010,301,42,1,1
2895,2/08/2010,301,42,1,1
837,3/08/2010,302,43,6,1
838,3/08/2010,302,43,1,1
906,3/08/2010,302,43,1,1
931,5/08/2010,304,43,1,1
814,5/08/2010,304,43,1,1
819,6/08/2010,305,43,1,1
834,6/08/2010,305,43,1,1
854,7/08/2010,306,43,6,1
820,7/08/2010,306,43,3,1
4047,8/08/2010,307,43,1,1
4046,8/08/2010,307,43,1,1
2048,9/08/2010,308,43,1,1
829,9/08/2010,308,43,1,1
823,10/08/2010,309,44,1,1
1063,10/08/2010,309,44,1,1
845,12/08/2010,311,44,1,1
909,12/08/2010,311,44,1,1
839,13/08/2010,312,44,1,1
1791,14/08/2010,313,44,1,1
840,17/08/2010,316,45,1,1
841,18/08/2010,317,45,1,1
842,18/08/2010,317,45,1,1
858,19/08/2010,318,45,1,1
844,20/08/2010,319,45,1,1
2896,20/08/2010,319,45,1,1
4087,24/08/2010,323,46,1,1
1060,24/08/2010,323,46,1,1
923,27/08/2010,326,46,1,1
861,28/08/2010,327,46,3,1
1057,29/08/2010,328,46,6,1
1936,31/08/2010,330,47,1,1
871,1/09/2010,331,47,4,1
895,3/09/2010,333,47,5,1
1553,4/09/2010,334,47,1,1
920,4/09/2010,334,47,1,1
870,4/09/2010,334,47,1,1
928,5/09/2010,335,47,1,1
872,5/09/2010,335,47,1,1
916,5/09/2010,335,47,1,1
914,6/09/2010,336,47,1,1
2109,6/09/2010,336,47,1,1
919,6/09/2010,336,47,1,1
1059,6/09/2010,336,47,1,1
910,6/09/2010,336,47,1,1
912,7/09/2010,337,48,5,1
963,7/09/2010,337,48,1,1
1883,7/09/2010,337,48,1,1
917,8/09/2010,338,48,1,1
958,9/09/2010,339,48,2,1
921,10/09/2010,340,48,1,1
924,13/09/2010,343,48,1,1
5538,13/09/2010,343,48,1,1
918,13/09/2010,343,48,1,1
4697,14/09/2010,344,49,1,1
922,15/09/2010,345,49,4,1
1796,15/09/2010,345,49,1,1
964,15/09/2010,345,49,1,1
1797,16/09/2010,346,49,2,1
949,17/09/2010,347,49,2,1
932,17/09/2010,347,49,1,1
1083,18/09/2010,348,49,1,1
933,20/09/2010,350,49,3,1
934,20/09/2010,350,49,1,1
1879,21/09/2010,351,50,1,1
1067,21/09/2010,351,50,1,1
5539,23/09/2010,353,50,1,1
1604,23/09/2010,353,50,1,1
1082,24/09/2010,354,50,1,1
1169,24/09/2010,354,50,1,1
1795,25/09/2010,355,50,1,1
1278,25/09/2010,355,50,1,1
2055,26/09/2010,356,50,1,1
1174,26/09/2010,356,50,1,1
1157,27/09/2010,357,50,1,1
1110,28/09/2010,358,51,1,1
4048,29/09/2010,359,51,1,1
1281,29/09/2010,359,51,1,1
1607,29/09/2010,359,51,1,1
2116,30/09/2010,360,51,1,1
1088,30/09/2010,360,51,1,1
1753,1/10/2010,361,51,2,1
1116,1/10/2010,361,51,2,1
1168,1/10/2010,361,51,1,1
4049,1/10/2010,361,51,1,1
1056,1/10/2010,361,51,1,1
1089,1/10/2010,361,51,1,1
3361,2/10/2010,362,51,1,1
1048,2/10/2010,362,51,1,1
2056,3/10/2010,363,51,1,1
1184,4/10/2010,364,51,1,1
1186,5/10/2010,365,52,1,1
2765,6/10/2010,366,52,2,1
2755,6/10/2010,366,52,2,1
1606,7/10/2010,367,52,1,1
4050,8/10/2010,368,52,1,1
1202,8/10/2010,368,52,1,1
1171,8/10/2010,368,52,1,1
2057,9/10/2010,369,52,1,1
1818,9/10/2010,369,52,1,1
1408,9/10/2010,369,52,1,1
1280,10/10/2010,370,52,1,1
2911,10/10/2010,370,52,1,1
1407,10/10/2010,370,52,1,1
2897,10/10/2010,370,52,1,1
1189,11/10/2010,371,52,2,1
2097,11/10/2010,371,52,1,1
1191,11/10/2010,371,52,1,1
1611,12/10/2010,372,53,13,1
1619,12/10/2010,372,53,1,1
1530,12/10/2010,372,53,1,1
637,12/10/2010,372,53,1,1
1418,13/10/2010,373,53,1,1
2093,13/10/2010,373,53,1,1
1414,14/10/2010,374,53,1,1
1415,14/10/2010,374,53,1,1
2061,15/10/2010,375,53,1,1
1532,15/10/2010,375,53,1,1
2091,16/10/2010,376,53,1,1
2090,17/10/2010,377,53,1,1
2062,18/10/2010,378,53,1,1
2654,18/10/2010,378,53,1,1
1937,18/10/2010,378,53,1,1
3500,18/10/2010,378,53,1,1
2092,18/10/2010,378,53,1,1
1672,19/10/2010,379,54,1,1
1533,19/10/2010,379,54,1,1
1941,20/10/2010,380,54,2,1
2455,20/10/2010,380,54,1,1
1671,20/10/2010,380,54,1,1
1687,21/10/2010,381,54,1,1
2218,21/10/2010,381,54,1,1
2653,22/10/2010,382,54,1,1
1534,23/10/2010,383,54,1,1
3669,23/10/2010,383,54,1,1
3668,23/10/2010,383,54,1,1
2054,24/10/2010,384,54,1,1
1816,25/10/2010,385,54,1,1
1958,25/10/2010,385,54,1,1
1767,25/10/2010,385,54,1,1
4051,26/10/2010,386,55,1,1
1814,26/10/2010,386,55,1,1
1910,26/10/2010,386,55,1,1
2420,26/10/2010,386,55,1,1
1959,26/10/2010,386,55,1,1
1962,27/10/2010,387,55,1,1
2139,27/10/2010,387,55,1,1
2912,27/10/2010,387,55,1,1
1583,27/10/2010,387,55,1,1
1961,27/10/2010,387,55,1,1
4052,28/10/2010,388,55,9,1
2652,28/10/2010,388,55,1,1
1626,28/10/2010,388,55,1,1
